date,region,road_category,traffic_sum,traffic_mean,traffic_max,traffic_count,monthly_change_mean,year,month,rolling_3m_avg,yoy_change,season,volume_classification,covid_period,recovery_trend
2020-01-01,Bergen,Riksvei,32156,32156.0,32156,1,0.0,2020,1,,0.0,Winter,Moderate,0,Stable
2020-01-01,Oslo,Europavei,45623,45623.0,45623,1,0.0,2020,1,,0.0,Winter,High,0,Stable
2020-02-01,Bergen,Riksvei,31234,31234.0,31234,1,-2.9,2020,2,31088.7,0.0,Winter,Moderate,0,Stable
2020-02-01,Oslo,Europavei,44891,44891.0,44891,1,-1.6,2020,2,44421.3,0.0,Winter,High,0,Stable
2020-03-01,Bergen,Riksvei,29876,29876.0,29876,1,-4.3,2020,3,26884.3,0.0,Spring,Low,1,Stable
2020-03-01,Oslo,Europavei,42750,42750.0,42750,1,-4.8,2020,3,38625.0,0.0,Spring,High,1,Stable
2020-04-01,Bergen,Riksvei,19543,19543.0,19543,1,-34.6,2020,4,24098.3,0.0,Spring,Very Low,1,Sharp Decline
2020-04-01,Oslo,Europavei,28234,28234.0,28234,1,-34.0,2020,4,34061.3,0.0,Spring,Low,1,Sharp Decline
2020-05-01,Bergen,Riksvei,22876,22876.0,22876,1,17.1,2020,5,23588.0,0.0,Spring,Low,1,Strong Recovery
2020-05-01,Oslo,Europavei,31200,31200.0,31200,1,10.5,2020,5,32774.7,0.0,Spring,Moderate,1,Strong Recovery
2020-06-01,Bergen,Riksvei,28345,28345.0,28345,1,23.9,2020,6,27502.7,0.0,Summer,Low,1,Strong Recovery
2020-06-01,Oslo,Europavei,38890,38890.0,38890,1,24.6,2020,6,37403.3,0.0,Summer,Moderate,1,Strong Recovery
2020-07-01,Bergen,Riksvei,31287,31287.0,31287,1,10.4,2020,7,30029.3,0.0,Summer,Moderate,1,Strong Recovery
2020-07-01,Oslo,Europavei,42120,42120.0,42120,1,8.3,2020,7,40783.3,0.0,Summer,High,1,Moderate Recovery
2020-08-01,Bergen,Riksvei,30456,30456.0,30456,1,-2.7,2020,8,30539.7,0.0,Summer,Moderate,1,Stable
2020-08-01,Oslo,Europavei,41340,41340.0,41340,1,-1.9,2020,8,42236.7,0.0,Summer,High,1,Stable
2020-09-01,Bergen,Riksvei,29876,29876.0,29876,1,-1.9,2020,9,30151.7,0.0,Autumn,Low,1,Stable
2020-09-01,Oslo,Europavei,43250,43250.0,43250,1,4.6,2020,9,43123.3,0.0,Autumn,High,1,Stable
2020-10-01,Bergen,Riksvei,30123,30123.0,30123,1,0.8,2020,10,29662.0,0.0,Autumn,Moderate,0,Stable
2020-10-01,Oslo,Europavei,44780,44780.0,44780,1,3.5,2020,10,43973.3,0.0,Autumn,High,0,Stable
2020-11-01,Bergen,Riksvei,28987,28987.0,28987,1,-3.8,2020,11,28921.3,0.0,Autumn,Low,0,Stable
2020-11-01,Oslo,Europavei,43890,43890.0,43890,1,-2.0,2020,11,43300.0,0.0,Autumn,High,0,Stable
2020-12-01,Bergen,Riksvei,27654,27654.0,27654,1,-4.6,2020,12,29699.0,0.0,Winter,Low,0,Stable
2020-12-01,Oslo,Europavei,41230,41230.0,41230,1,-6.1,2020,12,43893.3,0.0,Winter,High,0,Declining
2021-01-01,Bergen,Riksvei,32456,32456.0,32456,1,17.4,2021,1,31077.7,0.9,Winter,Moderate,0,Strong Recovery
2021-01-01,Oslo,Europavei,46560,46560.0,46560,1,12.9,2021,1,44563.3,2.1,Winter,High,0,Strong Recovery
2021-02-01,Bergen,Riksvei,33123,33123.0,33123,1,2.1,2021,2,33382.0,6.0,Winter,Moderate,0,Stable
2021-02-01,Oslo,Europavei,45900,45900.0,45900,1,-1.4,2021,2,46566.7,2.2,Winter,High,0,Stable
2021-03-01,Bergen,Riksvei,34567,34567.0,34567,1,4.4,2021,3,33715.3,15.7,Spring,Moderate,0,Stable
2021-03-01,Oslo,Europavei,47240,47240.0,47240,1,2.9,2021,3,46263.3,10.5,Spring,High,0,Stable
2021-04-01,Bergen,Riksvei,33456,33456.0,33456,1,-3.2,2021,4,34567.0,71.2,Spring,Moderate,0,Stable
2021-04-01,Oslo,Europavei,45650,45650.0,45650,1,-3.4,2021,4,46996.7,61.7,Spring,High,0,Stable
2021-05-01,Bergen,Riksvei,35678,35678.0,35678,1,6.6,2021,5,35674.7,56.0,Spring,Moderate,0,Moderate Recovery
2021-05-01,Oslo,Europavei,48100,48100.0,48100,1,5.4,2021,5,47880.0,54.2,Spring,High,0,Moderate Recovery
2021-06-01,Bergen,Riksvei,37890,37890.0,37890,1,6.2,2021,6,37563.7,33.7,Summer,Moderate,0,Moderate Recovery
2021-06-01,Oslo,Europavei,49890,49890.0,49890,1,3.7,2021,6,50110.0,28.3,Summer,High,0,Stable
2021-07-01,Bergen,Riksvei,39123,39123.0,39123,1,3.3,2021,7,38489.7,25.0,Summer,Moderate,0,Stable
2021-07-01,Oslo,Europavei,52340,52340.0,52340,1,4.9,2021,7,51373.3,24.3,Summer,Very High,0,Stable
2021-08-01,Bergen,Riksvei,38456,38456.0,38456,1,-1.7,2021,8,38122.7,26.3,Summer,Moderate,0,Stable
2021-08-01,Oslo,Europavei,51890,51890.0,51890,1,-0.9,2021,8,51226.7,25.5,Summer,Very High,0,Stable
2021-09-01,Bergen,Riksvei,36789,36789.0,36789,1,-4.3,2021,9,36974.3,23.1,Autumn,Moderate,0,Stable
2021-09-01,Oslo,Europavei,49450,49450.0,49450,1,-4.7,2021,9,50046.7,14.3,Autumn,High,0,Stable
2021-10-01,Bergen,Riksvei,35678,35678.0,35678,1,-3.0,2021,10,35678.0,18.4,Autumn,Moderate,0,Stable
2021-10-01,Oslo,Europavei,48800,48800.0,48800,1,-1.3,2021,10,48616.7,9.0,Autumn,High,0,Stable
2021-11-01,Bergen,Riksvei,34567,34567.0,34567,1,-3.1,2021,11,34567.0,19.3,Autumn,Moderate,0,Stable
2021-11-01,Oslo,Europavei,47600,47600.0,47600,1,-2.5,2021,11,47616.7,8.5,Autumn,High,0,Stable
2021-12-01,Bergen,Riksvei,33456,33456.0,33456,1,-3.2,2021,12,34604.0,21.0,Winter,Moderate,0,Stable
2021-12-01,Oslo,Europavei,46450,46450.0,46450,1,-2.4,2021,12,47650.0,12.7,Winter,High,0,Stable
2022-01-01,Bergen,Riksvei,35789,35789.0,35789,1,7.0,2022,1,35378.3,10.3,Winter,Moderate,0,Moderate Recovery
2022-01-01,Oslo,Europavei,48900,48900.0,48900,1,5.3,2022,1,48193.3,5.0,Winter,High,0,Moderate Recovery
2022-02-01,Bergen,Riksvei,36890,36890.0,36890,1,3.1,2022,2,36934.0,11.4,Winter,Moderate,0,Stable
2022-02-01,Oslo,Europavei,49230,49230.0,49230,1,0.7,2022,2,49933.3,7.3,Winter,High,0,Stable
2022-03-01,Bergen,Riksvei,38123,38123.0,38123,1,3.3,2022,3,37489.7,10.3,Spring,Moderate,0,Stable
2022-03-01,Oslo,Europavei,51670,51670.0,51670,1,5.0,2022,3,50366.7,9.4,Spring,Very High,0,Stable
2022-04-01,Bergen,Riksvei,37456,37456.0,37456,1,-1.7,2022,4,38456.0,12.0,Spring,Moderate,0,Stable
2022-04-01,Oslo,Europavei,50200,50200.0,50200,1,-2.8,2022,4,51483.3,10.0,Spring,Very High,0,Stable
2022-05-01,Bergen,Riksvei,39789,39789.0,39789,1,6.2,2022,5,39493.0,11.5,Spring,Moderate,0,Moderate Recovery
2022-05-01,Oslo,Europavei,52580,52580.0,52580,1,4.7,2022,5,52373.3,9.3,Spring,Very High,0,Stable
2022-06-01,Bergen,Riksvei,41234,41234.0,41234,1,3.6,2022,6,41196.7,8.8,Summer,High,0,Stable
2022-06-01,Oslo,Europavei,54340,54340.0,54340,1,3.3,2022,6,54573.3,8.9,Summer,Very High,0,Stable
2022-07-01,Bergen,Riksvei,42567,42567.0,42567,1,3.2,2022,7,41897.0,8.8,Summer,High,0,Stable
2022-07-01,Oslo,Europavei,56800,56800.0,56800,1,4.5,2022,7,55566.7,8.5,Summer,Very High,0,Stable
2022-08-01,Bergen,Riksvei,41890,41890.0,41890,1,-1.6,2022,8,41526.7,8.9,Summer,High,0,Stable
2022-08-01,Oslo,Europavei,55560,55560.0,55560,1,-2.2,2022,8,55253.3,7.1,Summer,Very High,0,Stable
2022-09-01,Bergen,Riksvei,40123,40123.0,40123,1,-4.2,2022,9,40489.7,9.1,Autumn,High,0,Stable
2022-09-01,Oslo,Europavei,53400,53400.0,53400,1,-3.9,2022,9,53920.0,8.0,Autumn,Very High,0,Stable
2022-10-01,Bergen,Riksvei,39456,39456.0,39456,1,-1.7,2022,10,39456.0,10.6,Autumn,Moderate,0,Stable
2022-10-01,Oslo,Europavei,52800,52800.0,52800,1,-1.1,2022,10,52600.0,8.2,Autumn,Very High,0,Stable
